date,confirm,Rt
2021-05-09,1,1.89
2021-05-10,1,1.99
2021-05-11,0,2.09
2021-05-12,0,2.20
2021-05-13,0,2.31
2021-05-14,0,2.41
2021-05-15,0,2.52
2021-05-16,0,2.60
2021-05-17,0,2.67
2021-05-18,0,2.71
2021-05-19,2,2.71
2021-05-20,3,2.68
2021-05-21,3,2.59
2021-05-22,0,2.46
2021-05-23,0,2.32
2021-05-24,1,2.14
2021-05-25,1,1.98
2021-05-26,1,1.81
2021-05-27,36,1.67
2021-05-28,25,1.53
2021-05-29,29,1.43
2021-05-30,59,1.33
2021-05-31,59,1.26
2021-06-01,70,1.21
2021-06-02,31,1.17
2021-06-03,30,1.16
2021-06-04,26,1.16
2021-06-05,31,1.17
2021-06-06,31,1.19
2021-06-07,46,1.21
2021-06-08,39,1.23
2021-06-09,40,1.26
2021-06-10,61,1.28
2021-06-11,48,1.30
2021-06-12,84,1.32
2021-06-13,95,1.33
2021-06-14,82,1.33
2021-06-15,90,1.33
2021-06-16,99,1.33
2021-06-17,137,1.33
2021-06-18,149,1.33
2021-06-19,135,1.34
2021-06-20,137,1.34
2021-06-21,166,1.35
2021-06-22,136,1.36
2021-06-23,152,1.38
2021-06-24,162,1.40
2021-06-25,724,1.42
2021-06-26,58,1.45
2021-06-27,200,1.47
2021-06-28,218,1.50
2021-06-29,155,1.52
2021-06-30,249,1.54
2021-07-01,464,1.55
2021-07-02,419,1.56
2021-07-03,714,1.57
2021-07-04,599,1.57
2021-07-05,641,1.56
2021-07-06,710,1.56
2021-07-07,766,1.54
2021-07-08,915,1.52
2021-07-09,1229,1.50
2021-07-10,1320,1.47
2021-07-11,1397,1.44
2021-07-12,1764,1.41
2021-07-13,1797,1.38
2021-07-14,2229,1.35
2021-07-15,2691,1.32
2021-07-16,2420,1.29
2021-07-17,2786,1.26
2021-07-18,4692,1.24
2021-07-19,3074,1.22
2021-07-20,3322,1.21
2021-07-21,3556,1.19
2021-07-22,4218,1.18
2021-07-23,4913,1.17
2021-07-24,5396,1.15
2021-07-25,4555,1.15
2021-07-26,5997,1.14
