Idx,Entity,Status,SI,GRI,CHI,ESI
0,Afghanistan,NF,26.85,26.98,30.83,0.0
1,Albania,PF,60.19,62.4,62.5,50.0
2,Algeria,NF,72.22,63.02,64.88,50.0
3,Andorra,F,50.0,55.21,52.98,100.0
4,Angola,NF,61.11,47.92,52.38,0.0
5,Antigua and Barbuda,F,0.0,0.0,0.0,0.0
6,Argentina,F,79.17,73.02,73.63,75.0
7,Armenia,PF,0.0,0.0,0.0,0.0
8,Australia,F,62.5,58.36,58.33,62.5
9,Austria,F,62.5,68.23,65.48,87.5
10,Azerbaijan,NF,72.22,65.52,69.64,50.0
11,Bahamas,F,68.98,62.76,67.08,25.0
12,Bahrain,NF,58.33,67.345,64.64,87.5
13,Bangladesh,PF,80.09,64.84,66.96,50.0
14,Barbados,F,57.41,54.69,57.14,37.5
15,Belarus,NF,31.48,33.85,38.69,0.0
16,Belgium,F,58.33,64.38,61.9,75.0
17,Belize,F,72.22,63.54,63.81,62.5
18,Benin,PF,39.81,42.19,39.4,62.5
19,Bhutan,PF,69.91,68.23,67.26,75.0
20,Bolivia,PF,47.22,43.23,45.83,50.0
21,Bosnia and Herzegovina,PF,42.59,44.27,44.88,37.5
22,Botswana,F,57.41,50.0,53.57,0.0
23,Brazil,F,67.13,55.57,61.73,25.0
24,Brunei,NF,40.74,43.75,42.86,50.0
25,Bulgaria,F,48.15,47.92,45.83,62.5
26,Burkina Faso,PF,25.0,35.42,33.33,0.0
27,Burundi,NF,14.81,16.15,14.88,0.0
28,Cambodia,NF,49.07,38.54,42.26,12.5
29,Cameroon,NF,35.19,28.65,32.74,0.0
30,Canada,F,70.83,63.02,63.1,62.5
31,Cabo Verde,F,0.0,0.0,0.0,0.0
32,Central African Republic,NF,22.22,22.4,24.4,25.0
33,Chad,NF,62.96,52.735,54.76,25.0
34,Chile,F,79.17,78.39,75.3,100.0
35,China,NF,78.24,68.49,72.92,37.5
36,Colombia,PF,81.02,71.51,71.01,75.0
37,Comoros,PF,0.0,0.0,0.0,0.0
38,Congo (Brazzaville),NF,0.0,0.0,0.0,0.0
39,Congo (Kinshasa),NF,0.0,0.0,0.0,0.0
40,Costa Rica,F,61.11,55.21,55.95,50.0
41,Cote d'Ivoire,PF,25.93,41.25,36.9,50.0
42,Croatia,F,46.3,52.08,51.79,37.5
